[11/10/2016 11:48:07]  Starting Greedy Search
[11/10/2016 11:48:07]  Dequeued :: Cost - 0	 Move - 	 PlayerPos - (5, 6) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 1	 Move - u	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 1	 Move - l	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 1	 Move - u	 PlayerPos - (5, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 2	 Move - u	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 2	 Move - d	 PlayerPos - (5, 6) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 2	 Move - l	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 2	 Move - u	 PlayerPos - (5, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 3	 Move - u	 PlayerPos - (5, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 3	 Move - d	 PlayerPos - (5, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 2	 Move - l	 PlayerPos - (4, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 3	 Move - u	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 3	 Move - r	 PlayerPos - (5, 5) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 3	 Move - d	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 3	 Move - u	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 4	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 4	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 4	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 4	 Move - l	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 4	 Move - l	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 5	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 5	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 5	 Move - l	 PlayerPos - (2, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 5	 Move - l	 PlayerPos - (2, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - u	 PlayerPos - (2, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - r	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 6	 Move - r	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 7	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 7	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 7	 Move - l	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 7	 Move - d	 PlayerPos - (3, 5) :: Deadlock
[11/10/2016 11:48:07]  Dequeued :: Cost - 7	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 8	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 8	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 8	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 8	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 8	 Move - d	 PlayerPos - (4, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - u	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - r	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - d	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 5	 Move - d	 PlayerPos - (3, 5) :: Deadlock
[11/10/2016 11:48:07]  Dequeued :: Cost - 6	 Move - u	 PlayerPos - (2, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 7	 Move - u	 PlayerPos - (2, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 7	 Move - d	 PlayerPos - (2, 4) :: Redundant
